amfi_code,scheme_name,fund_house,category,sub_category,plan,risk_category,observations,var_95_daily_return,cvar_95_daily_return,var_95_loss_pct,cvar_95_loss_pct
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,Regular,Very High,1607,-0.023914620856145253,-0.03028853855689586,2.3914620856145254,3.028853855689586
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Small Cap,Regular,Very High,1607,-0.023283602663622456,-0.029690039727417208,2.3283602663622456,2.969003972741721
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Small Cap,Direct,Very High,1607,-0.02315543346345327,-0.030162858545493422,2.315543346345327,3.0162858545493423
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap,Regular,Very High,1607,-0.02280980904250804,-0.029939618949017758,2.280980904250804,2.993961894901776
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap,Regular,Very High,1607,-0.021520304253189047,-0.02857253167644592,2.152030425318905,2.857253167644592
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,Regular,Very High,1607,-0.02150192149676894,-0.028444271406010857,2.1501921496768936,2.844427140601086
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,Regular,High,1607,-0.016996541912790975,-0.022374528784811144,1.6996541912790974,2.2374528784811143
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap,Regular,High,1607,-0.016949938922196213,-0.02125068794917235,1.6949938922196213,2.125068794917235
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,Regular,High,1607,-0.016901625170766918,-0.021849843397164254,1.6901625170766919,2.1849843397164253
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap,Regular,High,1607,-0.016857052171303167,-0.02177063382107187,1.6857052171303166,2.177063382107187
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap,Direct,High,1607,-0.016762363565981833,-0.021483832175150833,1.6762363565981833,2.148383217515083
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,Regular,High,1607,-0.01622408730341725,-0.022363198028897975,1.6224087303417252,2.2363198028897977
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Mid Cap,Regular,High,1607,-0.015865984799217414,-0.0209026576862566,1.5865984799217414,2.09026576862566
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,Regular,High,1607,-0.01525904637114308,-0.019851510510311667,1.525904637114308,1.9851510510311667
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap,Regular,Moderately High,1607,-0.013743344236293052,-0.017963512958246095,1.3743344236293051,1.7963512958246095
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,Regular,Moderately High,1607,-0.01332748517321156,-0.01711410215389912,1.332748517321156,1.7114102153899122
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Large & Mid Cap,Regular,Moderately High,1607,-0.013312695155113128,-0.017383918582139044,1.3312695155113128,1.7383918582139044
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Value,Regular,Moderately High,1607,-0.013005352264566299,-0.017792496196296158,1.30053522645663,1.7792496196296157
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Large Cap,Regular,Moderate,1607,-0.012955446642516752,-0.016995172112929814,1.2955446642516752,1.6995172112929815
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,Regular,Moderate,1607,-0.012883548931908687,-0.016768321461436163,1.2883548931908688,1.6768321461436162
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap,Regular,Moderate,1607,-0.012692876487327585,-0.016166151944503535,1.2692876487327585,1.6166151944503535
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,Regular,Moderate,1607,-0.012607396741943238,-0.016343197522742478,1.2607396741943238,1.6343197522742479
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Large Cap,Direct,Moderate,1607,-0.01258785333198682,-0.016331690102985696,1.258785333198682,1.6331690102985696
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,Direct,Moderate,1607,-0.012531255294818832,-0.016225606809666344,1.2531255294818833,1.6225606809666344
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,Direct,Moderate,1607,-0.01250186045702889,-0.01696448520682221,1.250186045702889,1.696448520682221
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap,Regular,Moderate,1607,-0.012333469077205578,-0.01632772507032638,1.2333469077205579,1.6327725070326382
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,Regular,Moderate,1607,-0.012173429806863608,-0.01607512058946511,1.217342980686361,1.607512058946511
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Large Cap,Regular,Moderate,1607,-0.012133236715948301,-0.016099692653253457,1.2133236715948301,1.6099692653253457
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Large Cap,Direct,Moderate,1607,-0.012129038937142641,-0.016078207856022268,1.2129038937142642,1.6078207856022269
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Large Cap,Direct,Moderate,1607,-0.012065681475230456,-0.015542096862478805,1.2065681475230456,1.5542096862478805
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,Regular,Moderate,1607,-0.011826841635318986,-0.015229577496502082,1.1826841635318985,1.5229577496502082
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap,Regular,Moderate,1607,-0.011724966759344821,-0.015248574925611378,1.1724966759344821,1.5248574925611378
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index,Regular,Moderate,1607,-0.01104718023672324,-0.014381301038700011,1.104718023672324,1.4381301038700012
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Index/ETF,Direct,Moderate,1607,-0.011033466722709946,-0.014938288639839212,1.1033466722709946,1.4938288639839212
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Gilt,Regular,Low,1607,-0.003428846226904113,-0.004618214851480345,0.3428846226904113,0.4618214851480345
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Gilt,Regular,Low,1607,-0.0033443895621997647,-0.004540687118852717,0.3344389562199765,0.45406871188527165
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Short Duration,Regular,Low,1607,-0.0033376131495872147,-0.004580656507363616,0.33376131495872147,0.45806565073636163
